date,home,away,market,p,ev,net_decimal,american_inferred
2025-09-22T23:00:00Z,Montréal Canadiens,Pittsburgh Penguins,away_ml,0.5621,0.4896,1.6500622665006226,165.0
2025-09-22T23:00:00Z,Columbus Blue Jackets,Buffalo Sabres,away_ml,0.6035,0.3277,1.2,120.0
2025-09-22T23:00:00Z,Montréal Canadiens,Pittsburgh Penguins,away_pl_+1.5,0.7884,0.3115,0.6634956874682902,-151.0
2025-09-22T23:00:00Z,Columbus Blue Jackets,Buffalo Sabres,away_pl_+1.5,0.8275,0.2408,0.4994561933534743,-200.0
2025-09-22T23:00:00Z,Carolina Hurricanes,Tampa Bay Lightning,home_pl_-1.5,0.5243,0.1692,1.2300209803547588,123.0
2025-09-22T23:00:00Z,Columbus Blue Jackets,Buffalo Sabres,under,0.4337,0.0556,1.4339405118745678,143.0
2025-09-22T23:00:00Z,Carolina Hurricanes,Tampa Bay Lightning,home_ml,0.6925,0.0146,0.46512635379061373,-215.0
2025-09-22T23:00:00Z,Montréal Canadiens,Pittsburgh Penguins,under,0.4338,-0.0312,1.2332872291378516,123.0
2025-09-22T23:00:00Z,Carolina Hurricanes,Tampa Bay Lightning,under,0.4331,-0.0338,1.2308935580697298,123.0
2025-09-22T23:00:00Z,Montréal Canadiens,Pittsburgh Penguins,over,0.4043,-0.058,1.3299530051941626,133.0
2025-09-22T23:00:00Z,Carolina Hurricanes,Tampa Bay Lightning,over,0.402,-0.0654,1.324875621890547,132.0
2025-09-22T23:00:00Z,Columbus Blue Jackets,Buffalo Sabres,over,0.4039,-0.1293,1.1557316167368163,116.0
2025-09-22T23:00:00Z,Carolina Hurricanes,Tampa Bay Lightning,away_ml,0.3075,-0.1544,1.749918699186992,175.0
2025-09-22T23:00:00Z,Carolina Hurricanes,Tampa Bay Lightning,away_pl_+1.5,0.4757,-0.2179,0.6441034265293252,-155.0
2025-09-22T23:00:00Z,Columbus Blue Jackets,Buffalo Sabres,home_ml,0.3965,-0.3301,0.6895334174022696,-145.0
2025-09-22T23:00:00Z,Montréal Canadiens,Pittsburgh Penguins,home_ml,0.4379,-0.3432,0.49988581868006404,-200.0
2025-09-22T23:00:00Z,Montréal Canadiens,Pittsburgh Penguins,home_pl_-1.5,0.2116,-0.5205,1.2660680529300568,127.0
2025-09-22T23:00:00Z,Columbus Blue Jackets,Buffalo Sabres,home_pl_-1.5,0.1725,-0.5421,1.6544927536231884,165.0
