gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020725,2026-01-13,Ottawa Senators,Vancouver Canucks,2,5
2025020726,2026-01-13,Pittsburgh Penguins,Tampa Bay Lightning,3,1
2025020727,2026-01-13,Washington Capitals,Montréal Canadiens,1,2
2025020728,2026-01-13,Columbus Blue Jackets,Calgary Flames,4,3
2025020729,2026-01-13,Boston Bruins,Detroit Red Wings,5,2
2025020730,2026-01-13,St. Louis Blues,Carolina Hurricanes,2,2
2025020731,2026-01-13,Nashville Predators,Edmonton Oilers,3,4
2025020732,2026-01-13,Winnipeg Jets,New York Islanders,1,3
2025020733,2026-01-13,Utah Mammoth,Toronto Maple Leafs,4,4
2025020734,2026-01-13,Anaheim Ducks,Dallas Stars,1,3
